source,link,destination,link description
pbrejoux,judged,jop,Pierre Bréjoux of the Institute of Appellations of Origin was a judge at the 1976 Judgment of Paris.
cdubois,judged,jop,"Claude Dubois-Millot was a judge at the 1976 Judgment of Paris. He was a substitute for his brother, Christian Millau."
mdovaz,judged,jop,Michel Dovaz of the Wine Institute of France was a judge at the 1976 Judgment of Paris.
okahn,judged,jop,"Odette Kahn, the Editor of La Revue du vin de France, a monthly magazine about wine, was a judge at the 1976 Judgment of Paris."
roliver,judged,jop,Raymond Oliver of the restaurant Le Grand Véfour was a judge at the 1976 Judgment of Paris.
ptari,judged,jop,Pierre Tari of the Chateau Giscours winery was a judge at the 1976 Judgment of Paris.
cvanneque,judged,jop,Christian Vanneque the sommelier of Tour D'Argent was a judge at the 1976 Judgment of Paris.
avillaine,judged,jop,"Aubert de Villaine of the Domaine de la Romanée-Conti, a wine estate in Burgundy, was a judge at the 1976 Judgment of Paris."
jcvrinat,judged,jop,Jean-Claude Vrinat of the Restaurant Taillevent was a judge at the 1976 Judgment of Paris.
sspurrier,organized,jop,Steven Spurrier organized the 1976 Judgment of Paris with the help of his friend and colleague Patricia Gallagher. 
pgallagher,organized,jop,"It was Patricia Gallagher's idea to organize the 1976 Judgment of Paris, and was the one who suggested it to Steven Spurrier. "
gtaber,reported,jop,"George M. Taber from TIME magazine was the only reporter to attend the 1976 Judgment of Paris, who promptly revealed the results to the world."
jop,tasted,stagsleapwc,1973 Cabernet Sauvignon from Stag's Leap Wine Cellars was included in the 1976 Judgment of Paris tasting. It won 1st place among the red wines.
jop,tasted,ridgewine,"1971 Cabernet Sauvignon from Ridge Vineyards Monte Bello was included in the 1976 Judgment of Paris tasting, ranking 5th place among the red wines."
jop,tasted,heitzcellar,"1970 Cabernet Sauvignon from Heitz Wine Cellars Martha's Vineyard was included in the 1976 Judgment of Paris tasting, ranking 7th place among the red wines."
jop,tasted,closduval,"1972 Cabernet Sauvignon from Clos du Val was included in the 1976 Judgment of Paris tasting, ranking 8th place among the red wines."
jop,tasted,mayacamas,"1971 Cabernet Sauvignon from Mayacamas Vineyard was included in the 1976 Judgment of Paris tasting, ranking 9th place among the red wines."
jop,tasted,chatmoutonroth,"1970 vintage of Château Mouton Rothschild took second place among the red wines, and was the highest ranked French wine, at the historic 1976 Judgment of Paris wine competition."
jop,tasted,chatmontrose,"1970 Château Montrose Bordeaux was included in the 1976 Judgment of Paris tasting, ranking 3rd place among the red wines."
jop,tasted,chathautbri,"1970 Château Haut-Brion Bordeaux was included in the 1976 Judgment of Paris tasting, ranking 4th place among the red wines."
jop,tasted,chatleoville,"1971 Château Leoville Las Cases Bordeaux was included in the 1976 Judgment of Paris tasting, ranking 6th place among the red wines."
jop,tasted,freemark,1972 Chardonnay and 1972 Cabernet Sauvignon from Freemark Abbey were included in the 1976 Judgment of Paris tasting. The Chardonnay ranked 4th place among the white wines. The Cabernet ranked 10th (last) among the red wines. 
jop,tasted,chatmontelena,1973 Chardonnay from Chateau Montelena was included in the 1976 Judgment of Paris tasting. It won 1st place among the white wines.  
jop,tasted,chalone,"1974 Chalone Vineyard Chardonnay was included in the 1976 Judgment of Paris, ranking 3rd place among the white wines. "
jop,tasted,springmountain,"1973 Spring Mountain Vineyard Chardonnay was included in the 1976 Judgment of Paris, ranking 4th place among the white wines. "
jop,tasted,dbrucewinery,"1972 Freemark Abbey Winery Chardonnay  was included in the 1976 Judgment of Paris, ranking 10th (last) place among the white wines. "
jop,tasted,domroulot,The 1973 vintage of Roulot's white premier cru wine Meursault Charmes was ranked second among the white wines in the historic Judgment of Paris wine competition.
jop,tasted,maisonjdrouhin,"1973 Beaune Clos des Mouches Joseph Drouhin was included in the 1976 Judgment of Paris, ranking 5th place among the white wines. "
jop,tasted,domleflaive,"1972 Puligny-Montrachet Les Pucelles Domaine Leflaive was included in the 1976 Judgment of Paris, ranking 8th place among the white wines. "
jop,tasted,domramonet,"1973 Batard-Montrachet Ramonet-Prudhon was included in the 1976 Judgment of Paris, ranking 7th place among the white wines. "
smithsoniannh,displays,1973slv,"1973 Stag's Leap Wine Cellars Cabernet is on display in the “FOOD: Transforming the American Table, 1950–2000” exhibition since 1996."
smithsoniannh,displays,1973montchard,"The 1973 Chateau Montelena Chardonnay is on display in the “FOOD: Transforming the American Table, 1950–2000” exhibition since 1996."
intercontinental,hosted,jop,"The 1976 Judgment of Paris wine tasting was hosted at the InterContinental, a luxury hotel. "
sspurrier,owned,lescaves,Steven Spurrier owned the wine shop Les Caves de la Madeleine from 1971 - 1988.
1973slv,won,jop,The 1973 Cabernet Sauvignon from Stag’s Leap Wine Cellars in Napa Valley placed first among the reds in the 1976 Judgment of Paris tasting.
1973montchard,won,jop,The 1973 Chardonnay from Chateau Montelena in Napa Valley placed first among the whites at the 1976 Judgment of Paris tasting.
wwiniarski,founded,stagsleapwc,Warren Winiarski founded the winery Stag's Leap Wine Cellars in 1970.
stagsleapwc,produced,1973slv,1973 Stag's Leap Wine Cellars Cabernet was produced at Stag's Leap Wine Cellars in Napa Valley California.
wwiniarski,winemaker,1973slv,1973 Stag's Leap Wine Cellars Cabernet that won the 1976 Judgment of Paris was the second crop and first vintage produced by winemaker and winery founder Warren Winiarski.
mgrgich,winemaker,1973montchard,Mike Grgich produced the 1973 Chateau Montelena Chardonnay that won the 1976 Judgment of Paris.